property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,floor_category,luxury_category,price
house,sector 5,2,2,1,Old Property,900.0,0,0,semifurnished,Low-Rise,Standard,0.8
flat,sector 104,3,2,3+,Relatively New,1607.0,0,0,unfurnished,High-Rise,Luxury,1.2
flat,sector 52,5,7,3+,Moderately Old,5778.0,1,0,semifurnished,Low-Rise,Premium,5.0
house,sector 22,7,5,3+,Old Property,2367.0,0,0,unfurnished,Low-Rise,Standard,4.75
flat,sohna road,2,2,3,New Property,913.0,0,0,semifurnished,Low-Rise,Premium,0.56
flat,sector 112,4,6,3+,Relatively New,3573.33,1,0,semifurnished,Mid-Rise,Premium,5.31
flat,sector 107,2,2,2,Relatively New,543.0,0,0,semifurnished,Low-Rise,Standard,0.28
flat,sohna road,2,2,3+,New Property,1129.0,0,0,unfurnished,Mid-Rise,Premium,0.95
house,sector 9,2,3,0,Old Property,900.0,0,0,semifurnished,Low-Rise,Standard,1.65
flat,sohna road,3,2,3,Relatively New,1210.0,0,0,semifurnished,Low-Rise,Premium,0.87
flat,sector 83,3,2,2,Moderately Old,1600.0,0,0,unfurnished,Low-Rise,Luxury,1.05
flat,sector 61,2,2,2,New Property,1278.0,0,0,semifurnished,Low-Rise,Standard,1.58
flat,sector 82,2,2,2,Relatively New,1202.0,0,0,unfurnished,Mid-Rise,Luxury,0.89
flat,sector 81,1,1,2,Relatively New,444.0,0,0,semifurnished,Low-Rise,Standard,0.38
house,sohna road road,2,2,1,New Property,1150.0,0,0,semifurnished,Low-Rise,Standard,0.49
flat,sohna road,2,2,1,Relatively New,508.0,0,0,unfurnished,Low-Rise,Premium,0.27
flat,sector 111,3,4,3+,Under Construction,2104.0,1,0,semifurnished,Mid-Rise,Standard,1.65
flat,sector 81,3,3,0,Relatively New,1780.0,0,0,semifurnished,Mid-Rise,Standard,0.9
flat,sector 69,4,4,2,New Property,1819.0,0,0,semifurnished,Mid-Rise,Luxury,1.7
flat,sector 71,1,1,0,New Property,683.0,0,0,semifurnished,Mid-Rise,Premium,0.9
flat,sector 90,4,4,3+,Relatively New,1900.0,0,0,semifurnished,Mid-Rise,Premium,1.65
flat,sector 12,3,3,2,Relatively New,995.0,0,0,unfurnished,Low-Rise,Standard,0.53
flat,manesar,3,3,3+,Moderately Old,1900.0,1,0,semifurnished,Low-Rise,Premium,0.81
flat,sector 71,4,4,3,Moderately Old,2127.0,1,0,semifurnished,Mid-Rise,Standard,1.35
flat,sector 65,3,3,3,Relatively New,1081.0,1,0,unfurnished,Mid-Rise,Luxury,1.75
flat,sector 41,3,3,2,Old Property,1640.0,0,0,furnished,Mid-Rise,Premium,2.75
flat,sector 85,4,4,3+,New Property,3151.0,0,0,semifurnished,High-Rise,Standard,2.7
flat,sector 4,2,2,1,Relatively New,1000.0,0,0,unfurnished,Low-Rise,Premium,0.46
flat,sector 48,3,3,3+,Moderately Old,1576.0,1,0,unfurnished,Mid-Rise,Luxury,1.76
flat,new,2,2,2,Relatively New,1086.0,0,0,semifurnished,Low-Rise,Standard,0.67
flat,gwal pahari,4,4,3+,Moderately Old,1850.0,0,0,semifurnished,Mid-Rise,Premium,1.5
flat,sector 77,3,4,3+,Relatively New,1810.0,1,0,unfurnished,Mid-Rise,Luxury,1.08
house,sector 54,9,9,3,Relatively New,60.0,1,0,furnished,Mid-Rise,Standard,2.0
flat,sector 65,3,3,3,Moderately Old,3027.0,1,0,unfurnished,High-Rise,Premium,6.15
flat,sector 84,3,3,3,Relatively New,1833.0,1,0,semifurnished,Mid-Rise,Standard,1.49
flat,sector 108,2,2,2,Relatively New,1250.0,0,0,semifurnished,Mid-Rise,Premium,1.9
flat,sector 103,3,3,3+,New Property,1464.0,0,0,semifurnished,Low-Rise,Luxury,1.25
flat,sector 63,4,4,3+,New Property,3150.0,0,0,unfurnished,Low-Rise,Premium,4.49
house,sector 12,8,8,3+,Relatively New,4800.0,1,0,furnished,Low-Rise,Premium,3.5
flat,sector 92,3,2,2,Relatively New,1131.0,0,0,semifurnished,Low-Rise,Premium,0.51
flat,sector 86,4,6,2,New Property,2521.0,1,0,semifurnished,Mid-Rise,Premium,1.3
flat,sector 49,4,5,3,Moderately Old,3356.0,1,0,furnished,Mid-Rise,Standard,3.6
house,sector 109,5,5,2,Relatively New,2430.0,1,0,semifurnished,Low-Rise,Luxury,6.2
flat,sohna road,2,2,2,Moderately Old,1350.0,0,0,semifurnished,Low-Rise,Premium,0.75
flat,sector 37d,3,3,3+,Relatively New,1983.0,1,0,semifurnished,Mid-Rise,Standard,1.72
flat,sector 95,2,2,3,New Property,896.0,0,0,semifurnished,Mid-Rise,Standard,0.56
flat,sector 88a,2,2,1,New Property,694.0,0,0,semifurnished,Low-Rise,Standard,0.45
flat,sector 79,3,4,3,Relatively New,1416.0,1,0,unfurnished,Mid-Rise,Luxury,1.55
flat,sohna road,2,2,1,New Property,582.0,0,0,unfurnished,Low-Rise,Standard,0.4
flat,sector 61,3,3,1,Under Construction,1549.0,0,0,semifurnished,Low-Rise,Premium,2.5
flat,sector 33,4,4,3,New Property,2371.0,1,0,unfurnished,Low-Rise,Standard,2.96
flat,sector 33,3,2,3+,New Property,1730.0,0,0,semifurnished,Mid-Rise,Standard,1.55
flat,sector 24,4,5,3+,New Property,3889.0,1,0,furnished,Low-Rise,Standard,6.5
flat,sector 81,4,6,3+,Relatively New,3801.0,1,0,unfurnished,High-Rise,Standard,4.5
flat,sohna road,2,2,2,Relatively New,524.0,0,0,furnished,Low-Rise,Luxury,0.3
flat,sector 106,3,2,2,Relatively New,1359.0,0,0,semifurnished,Low-Rise,Standard,1.82
flat,sector 82,3,4,2,Relatively New,1500.0,1,0,unfurnished,Mid-Rise,Luxury,1.12
flat,sector 104,1,2,2,New Property,334.0,0,0,semifurnished,Low-Rise,Premium,0.2
house,sector 23,7,7,3+,Moderately Old,5000.0,1,0,semifurnished,Low-Rise,Premium,5.65
flat,sector 85,2,2,2,Relatively New,1250.0,0,0,unfurnished,Mid-Rise,Luxury,0.67
flat,sector 106,4,3,3,Old Property,1678.0,1,0,semifurnished,High-Rise,Luxury,1.35
flat,sector 92,3,3,3,Relatively New,1700.0,1,0,semifurnished,Mid-Rise,Standard,0.72
flat,sector 85,2,2,3,Relatively New,1400.0,0,0,semifurnished,High-Rise,Standard,1.4
house,sector 14,3,3,2,Old Property,4518.0,1,0,unfurnished,Low-Rise,Standard,7.5
flat,sector 109,4,4,2,Relatively New,2380.0,1,0,semifurnished,Mid-Rise,Premium,2.0
house,sector 3 phase 2,3,4,2,Relatively New,900.0,0,0,semifurnished,Low-Rise,Standard,1.0
flat,sector 107,2,2,3+,Relatively New,1236.0,0,0,semifurnished,Mid-Rise,Luxury,0.82
house,sector 12,6,6,2,Old Property,2228.0,0,0,semifurnished,Low-Rise,Standard,2.75
house,sector 26,5,5,2,Old Property,2295.0,0,0,semifurnished,Low-Rise,Standard,8.1
house,sector 17b,4,4,2,Old Property,4518.0,1,0,unfurnished,Low-Rise,Standard,8.5
flat,sector 70a,2,2,2,Relatively New,1312.0,0,0,semifurnished,Mid-Rise,Standard,1.1
flat,sector 77,3,3,3,New Property,1833.0,1,0,semifurnished,High-Rise,Standard,2.1
house,sector 9,4,3,1,Old Property,200.0,0,0,semifurnished,Low-Rise,Standard,1.1
flat,sector 81,2,2,1,Relatively New,586.0,0,0,semifurnished,Mid-Rise,Standard,0.4
flat,sector 84,3,3,3,Relatively New,1833.0,1,0,semifurnished,High-Rise,Premium,0.9
flat,sector 103,3,4,3,Under Construction,2012.0,1,0,semifurnished,Mid-Rise,Luxury,1.25
house,sector 17b,4,4,3+,Old Property,3500.0,1,1,semifurnished,Low-Rise,Standard,6.95
flat,sector 107,2,2,3+,New Property,1236.0,0,0,semifurnished,Mid-Rise,Premium,0.8
flat,sector 28,4,3,2,Moderately Old,2488.0,1,0,semifurnished,Mid-Rise,Standard,7.0
house,sector 48,4,4,3,Moderately Old,2700.0,1,1,unfurnished,Low-Rise,Luxury,6.4
flat,sector 102,2,2,2,Relatively New,915.0,0,0,semifurnished,Mid-Rise,Standard,0.95
flat,sector 92,3,2,2,Relatively New,1325.0,0,0,semifurnished,Low-Rise,Premium,0.7
house,sector 24,4,4,3+,Relatively New,1350.0,1,0,unfurnished,Low-Rise,Premium,5.25
flat,sector 33,2,2,3,New Property,86.0,0,0,semifurnished,Low-Rise,Premium,1.2
flat,sector 92,3,2,3,Relatively New,1240.0,0,0,semifurnished,Mid-Rise,Premium,0.9
house,sector 48,4,4,3,Relatively New,3240.0,1,1,unfurnished,Low-Rise,Luxury,7.25
flat,sector 102,2,2,2,Relatively New,915.0,0,0,semifurnished,Mid-Rise,Standard,0.95
flat,sector 70a,4,4,3,Relatively New,1600.0,0,0,semifurnished,Low-Rise,Standard,1.6
flat,sector 82a,4,4,3+,New Property,2179.0,1,0,furnished,Low-Rise,Luxury,2.85
flat,sector 79,2,2,3,New Property,1423.0,0,0,semifurnished,Low-Rise,Standard,1.29
flat,sector 108,2,2,3,Relatively New,1167.0,1,0,semifurnished,Mid-Rise,Luxury,0.97
house,sector 38,2,7,3+,Relatively New,900.0,0,1,semifurnished,Low-Rise,Standard,2.1
house,sector 109,3,4,0,Relatively New,2150.0,0,0,semifurnished,Mid-Rise,Standard,1.87
house,sector 48,3,4,2,Moderately Old,2592.0,1,1,unfurnished,Low-Rise,Luxury,7.25
flat,sector 62,3,3,3,New Property,2343.0,1,0,unfurnished,High-Rise,Standard,4.0
